hlnum,ctermfg,ctermbg,guifg,guibg
1,white,DarkRed,white,firebrick
2,white,DarkGreen,white,DarkGreen
3,white,DarkBlue,white,DarkSlateBlue
4,black,magenta,black,DarkOrange
5,black,green,black,chartreuse
6,black,cyan,black,DeepSkyBlue
7,,,black,thistle
8,,,black,burlywood
9,,,black,PowderBlue
11,red,,red,
12,green,,green,
13,blue,,blue,
14,,,black,peru
15,,,black,DarkSeaGreen
16,,,black,SteelBlue
17,,,black,IndianRed
18,,,black,DarkOliveGreen
19,,,black,SlateGray
21,,,red,grey20
22,,,green,grey20
23,,,CornflowerBlue,grey20
24,,,red,grey40
25,,,green,grey40
26,,,blue,grey40
27,,,red,grey70
28,,,DarkGreen,grey70
29,,,blue,grey70
